iter	Passed	Remaining
281	1263	3215
282	1267	3211
283	1269	3200
284	1274	3196
285	1280	3196
286	1285	3192
287	1288	3185
288	1292	3180
289	1294	3170
290	1299	3166
291	1304	3162
292	1308	3158
293	1310	3147
294	1313	3139
295	1321	3143
296	1326	3138
297	1327	3128
298	1332	3124
299	1337	3120
300	1339	3110
301	1344	3107
302	1348	3103
303	1350	3092
304	1355	3089
305	1361	3087
306	1363	3078
307	1366	3069
308	1369	3062
309	1374	3060
310	1377	3051
311	1382	3048
312	1387	3045
313	1392	3043
314	1397	3039
315	1402	3036
316	1408	3035
317	1413	3032
318	1415	3022
319	1425	3028
320	1432	3029
321	1436	3024
322	1440	3020
323	1445	3016
324	1454	3020
325	1457	3013
326	1462	3009
327	1467	3005
328	1471	3001
329	1476	2997
330	1480	2992
331	1489	2997
332	1494	2993
333	1499	2989
334	1503	2985
335	1509	2982
336	1514	2978
337	1517	2971
338	1521	2966
339	1524	2958
340	1529	2955
341	1534	2951
342	1539	2948
343	1543	2944
344	1551	2945
345	1559	2946
346	1564	2943
347	1566	2935
348	1571	2930
349	1579	2934
350	1587	2934
351	1595	2938
352	1600	2934
353	1605	2929
354	1609	2924
355	1614	2920
356	1620	2918
357	1622	2910
358	1624	2901
359	1627	2893
360	1632	2889
361	1634	2881
362	1640	2879
363	1645	2875
364	1653	2876
365	1657	2870
366	1661	2866
367	1666	2862
368	1670	2857
369	1675	2852
370	1677	2844
371	1682	2839
372	1687	2836
373	1692	2833
374	1695	2826
375	1699	2820
376	1703	2814
377	1708	2811
378	1713	2807
379	1717	2802
380	1722	2798
381	1730	2799
382	1731	2790
383	1733	2781
384	1736	2773
385	1738	2764
386	1740	2757
387	1743	2750
388	1746	2742
389	1752	2740
390	1761	2742
391	1765	2738
392	1770	2735
393	1774	2728
394	1778	2724
395	1780	2716
396	1782	2707
397	1784	2698
398	1791	2698
399	1796	2694
400	1800	2690
401	1805	2685
402	1809	2681
403	1814	2676
404	1817	2670
405	1822	2666
406	1827	2662
407	1831	2657
408	1833	2649
409	1841	2649
410	1845	2645
411	1848	2638
412	1853	2633
413	1856	2627
414	1860	2622
415	1867	2621
416	1872	2618
417	1878	2615
418	1884	2612
419	1888	2607
420	1891	2602
421	1894	2594
422	1898	2589
423	1904	2587
424	1910	2584
425	1912	2577
426	1918	2573
427	1921	2568
428	1928	2566
429	1931	2560
430	1938	2558
431	1942	2554
432	1949	2553
433	1953	2547
434	1956	2541
435	1960	2536
436	1970	2538
437	1972	2530
438	1979	2529
439	1987	2529
440	1994	2528
441	1997	2521
442	2001	2516
443	2005	2511
444	2011	2508
445	2015	2503
446	2020	2499
447	2026	2497
448	2031	2492
449	2035	2487
450	2040	2483
451	2046	2481
452	2049	2475
453	2051	2467
454	2056	2463
455	2058	2456
456	2060	2447
457	2061	2439
458	2065	2434
459	2070	2430
460	2074	2425
461	2083	2425
462	2085	2418
463	2092	2417
464	2095	2411
465	2098	2404
466	2102	2399
467	2111	2400
468	2116	2396
469	2123	2394
470	2124	2386
471	2129	2381
472	2135	2379
473	2140	2374
474	2144	2370
475	2146	2363
476	2148	2356
477	2150	2348
478	2155	2344
479	2160	2340
480	2162	2333
481	2167	2329
482	2171	2324
483	2178	2322
484	2180	2314
485	2185	2311
486	2192	2309
487	2198	2306
488	2202	2301
489	2210	2300
490	2215	2297
491	2218	2290
492	2224	2287
493	2229	2283
494	2231	2277
495	2235	2271
496	2241	2268
497	2245	2263
498	2253	2262
499	2257	2257
500	2264	2255
501	2271	2253
502	2277	2250
503	2279	2243
504	2286	2241
505	2290	2236
506	2293	2230
507	2298	2226
508	2303	2221
509	2314	2223
510	2321	2221
511	2327	2218
512	2333	2215
513	2337	2209
514	2339	2203
515	2346	2201
516	2350	2195
517	2356	2193
518	2362	2189
519	2365	2183
520	2369	2178
521	2376	2176
522	2383	2174
523	2386	2168
524	2390	2162
525	2394	2157
526	2399	2153
527	2402	2148
528	2413	2148
529	2417	2143
530	2421	2139
531	2425	2133
532	2427	2126
533	2429	2119
534	2431	2113
535	2435	2108
536	2440	2104
537	2444	2099
538	2447	2093
539	2451	2088
540	2456	2084
541	2458	2077
542	2462	2072
543	2465	2067
544	2468	2060
545	2472	2055
546	2474	2049
547	2477	2043
548	2480	2037
549	2482	2031
550	2484	2024
551	2486	2018
552	2488	2011
553	2490	2004
554	2494	2000
555	2499	1995
556	2501	1989
557	2503	1983
558	2507	1978
559	2510	1972
560	2513	1967
561	2517	1961
562	2524	1959
563	2526	1952
564	2529	1947
565	2534	1943
566	2538	1938
567	2541	1933
568	2546	1928
569	2549	1923
570	2553	1918
571	2558	1914
572	2563	1910
573	2564	1903
574	2570	1899
575	2572	1893
576	2577	1889
577	2581	1885
578	2585	1879
579	2591	1876
580	2594	1871
581	2599	1866
582	2603	1862
583	2605	1856
584	2608	1850
585	2609	1843
586	2616	1840
587	2620	1836
588	2625	1831
589	2631	1828
590	2635	1823
591	2639	1819
592	2643	1814
593	2648	1810
594	2651	1804
595	2655	1800
596	2659	1795
597	2669	1794
598	2674	1790
599	2678	1785
600	2683	1781
601	2686	1775
602	2690	1771
603	2693	1765
604	2699	1762
605	2704	1758
606	2710	1754
607	2715	1750
608	2721	1747
609	2726	1743
610	2734	1741
611	2739	1736
612	2747	1734
613	2749	1728
614	2752	1723
615	2757	1718
616	2761	1714
617	2770	1712
618	2775	1708
619	2783	1705
620	2787	1701
621	2792	1697
622	2797	1692
623	2801	1688
624	2806	1684
625	2812	1680
626	2815	1675
627	2821	1671
628	2824	1666
629	2829	1661
630	2833	1657
631	2838	1652
632	2842	1648
633	2845	1642
634	2849	1637
635	2853	1633
636	2854	1626
637	2861	1623
638	2866	1619
639	2871	1615
640	2875	1610
641	2878	1605
642	2883	1600
643	2888	1596
644	2902	1597
645	2907	1593
646	2912	1588
647	2919	1585
648	2924	1581
649	2927	1576
650	2929	1570
651	2934	1566
652	2939	1561
653	2942	1556
654	2949	1553
655	2953	1548
656	2958	1544
657	2964	1541
658	2967	1535
659	2974	1532
660	2979	1528
661	2984	1523
662	2989	1519
663	2997	1516
664	3001	1512
665	3006	1507
666	3012	1503
667	3019	1500
668	3026	1497
669	3031	1493
670	3035	1488
671	3039	1483
672	3043	1478
673	3047	1474
674	3052	1469
675	3056	1464
676	3058	1459
677	3062	1454
678	3068	1450
679	3072	1446
680	3077	1441
681	3079	1436
682	3084	1431
683	3088	1426
684	3090	1421
685	3095	1416
686	3100	1412
687	3102	1406
688	3106	1402
689	3110	1397
690	3114	1392
691	3119	1388
692	3123	1383
693	3126	1378
694	3130	1373
695	3135	1369
696	3139	1364
697	3141	1359
698	3146	1354
699	3148	1349
700	3151	1344
701	3154	1339
702	3161	1335
703	3166	1331
704	3170	1326
705	3175	1322
706	3182	1319
707	3187	1314
708	3191	1309
709	3195	1305
710	3200	1300
711	3209	1298
712	3213	1293
713	3218	1289
714	3222	1284
715	3225	1279
716	3230	1275
717	3234	1270
718	3236	1265
719	3241	1260
720	3244	1255
721	3248	1250
722	3253	1246
723	3259	1242
724	3263	1237
725	3265	1232
726	3268	1227
727	3271	1222
728	3273	1216
729	3275	1211
730	3282	1207
731	3287	1203
732	3292	1199
733	3298	1195
734	3300	1189
735	3306	1185
736	3312	1181
737	3316	1177
738	3321	1173
739	3325	1168
740	3330	1164
741	3334	1159
742	3340	1155
743	3344	1150
744	3349	1146
745	3356	1142
746	3363	1139
747	3368	1134
748	3371	1129
749	3375	1125
750	3378	1120
751	3382	1115
752	3385	1110
753	3390	1106
754	3394	1101
755	3399	1097
756	3402	1092
757	3411	1089
758	3413	1083
759	3416	1078
760	3424	1075
761	3428	1070
762	3434	1066
763	3437	1061
764	3440	1057
765	3443	1051
766	3447	1047
767	3452	1043
768	3457	1038
769	3465	1035
770	3470	1030
771	3474	1026
772	3478	1021
773	3481	1016
774	3485	1011
775	3490	1007
776	3492	1002
777	3496	997
778	3501	993
779	3504	988
780	3508	983
781	3513	979
782	3518	975
783	3522	970
784	3527	966
785	3531	961
786	3535	956
787	3542	952
788	3547	948
789	3550	943
790	3552	938
791	3562	935
792	3567	931
793	3572	926
794	3575	921
795	3582	918
796	3591	914
797	3597	910
798	3604	906
799	3613	903
800	3620	899
801	3624	894
802	3629	890
803	3636	886
804	3639	881
805	3643	877
806	3650	873
807	3655	868
808	3657	863
809	3659	858
810	3664	853
811	3668	849
812	3675	845
813	3680	841
814	3684	836
815	3692	832
816	3702	829
817	3707	824
818	3711	820
819	3714	815
820	3719	810
821	3724	806
822	3729	802
823	3735	797
824	3740	793
825	3745	788
826	3750	784
827	3754	779
828	3767	777
829	3773	772
830	3778	768
831	3783	763
832	3786	759
833	3788	754
834	3793	749
835	3797	745
836	3802	740
837	3811	736
838	3814	731
839	3820	727
840	3825	723
841	3831	719
842	3838	714
843	3843	710
844	3847	705
845	3852	701
846	3856	696
847	3858	691
848	3869	688
849	3873	683
850	3879	679
851	3883	674
852	3888	670
853	3892	665
854	3896	660
855	3901	656
856	3904	651
857	3907	646
858	3911	642
859	3916	637
860	3920	632
861	3925	628
862	3930	623
863	3931	618
864	3933	613
865	3939	609
866	3941	604
867	3948	600
868	3953	595
869	3957	591
870	3962	586
871	3966	582
872	3972	577
873	3975	573
874	3979	568
875	3983	563
876	3986	559
877	3988	554
878	3992	549
879	3997	545
880	4003	540
881	4012	536
882	4015	532
883	4025	528
884	4030	523
885	4037	519
886	4043	515
887	4050	510
888	4058	506
889	4066	502
890	4071	498
891	4076	493
892	4079	488
893	4083	484
894	4089	479
895	4097	475
896	4104	471
897	4108	466
898	4113	462
899	4118	457
900	4125	453
901	4130	448
902	4134	444
903	4139	439
904	4145	435
905	4148	430
906	4156	426
907	4158	421
908	4169	417
909	4178	413
910	4180	408
911	4185	403
912	4188	399
913	4195	394
914	4198	390
915	4200	385
916	4204	380
917	4210	376
918	4216	371
919	4225	367
920	4228	362
921	4233	358
922	4240	353
923	4247	349
924	4250	344
925	4256	340
926	4261	335
927	4263	330
928	4274	326
929	4277	321
930	4282	317
931	4287	312
932	4291	308
933	4295	303
934	4297	298
935	4301	294
936	4306	289
937	4311	284
938	4315	280
939	4318	275
940	4323	271
941	4325	266
942	4329	261
943	4336	257
944	4341	252
945	4347	248
946	4352	243
947	4356	238
948	4362	234
949	4364	229
950	4373	225
951	4380	220
952	4388	216
953	4392	211
954	4396	207
955	4398	202
956	4406	197
957	4409	193
958	4412	188
959	4414	183
960	4419	179
961	4421	174
962	4426	170
963	4431	165
964	4438	160
965	4444	156
966	4451	151
967	4458	147
968	4462	142
969	4465	138
970	4469	133
971	4476	128
972	4479	124
973	4484	119
974	4488	115
975	4493	110
976	4497	105
977	4503	101
978	4509	96
979	4513	92
980	4515	87
981	4519	82
982	4524	78
983	4529	73
984	4534	69
985	4539	64
986	4543	59
987	4548	55
988	4552	50
989	4557	46
990	4564	41
991	4569	36
992	4573	32
993	4578	27
994	4583	23
995	4587	18
996	4596	13
997	4598	9
998	4600	4
999	4604	0
