iter	Logloss
0	0.6923557961
1	0.6917315078
2	0.6909823396
3	0.6902720589
4	0.6894645889
5	0.6886470682
6	0.6878845557
7	0.6872606842
8	0.6864424302
9	0.6857374073
10	0.685112515
11	0.6843111048
12	0.6835379718
13	0.6828917943
14	0.6821030278
15	0.681446424
16	0.680678811
17	0.6799423645
18	0.6791996039
19	0.6784205533
20	0.677737181
21	0.6769821411
22	0.6761466137
23	0.6753202956
24	0.6746132399
25	0.6740815125
26	0.6735960259
27	0.6732089357
28	0.6724885735
29	0.6719025474
30	0.6713051273
31	0.6707809536
32	0.6700057882
33	0.6692735929
34	0.668630356
35	0.6679281824
36	0.6672573056
37	0.6666537049
38	0.6661576771
39	0.6653849677
40	0.6647341969
41	0.6640922831
42	0.6635262813
43	0.6630511624
44	0.6624796199
45	0.6619333887
46	0.6612204725
47	0.660552714
48	0.6599725069
49	0.6591889634
50	0.6585032958
51	0.657933104
52	0.6572524756
53	0.6565529304
54	0.6558181744
55	0.6552781576
56	0.6546072702
57	0.6538609365
58	0.6533721704
59	0.652884588
60	0.6523357877
61	0.6516067249
62	0.6508511259
63	0.6501734928
64	0.6496543856
65	0.648947162
66	0.6481882483
67	0.6475555857
68	0.6468612489
69	0.6461285298
70	0.6453818525
71	0.6448892642
72	0.6442227842
73	0.6435569991
74	0.6430615407
75	0.6423942981
76	0.6416953615
77	0.6411709344
78	0.6405502801
79	0.6398806727
80	0.6391818062
81	0.6385649578
82	0.6378948029
83	0.6371429914
84	0.6365547811
85	0.635894088
86	0.6351196717
87	0.6345350307
88	0.6340644179
89	0.6333670106
90	0.6328393439
91	0.632301987
92	0.6316020092
93	0.6310045546
94	0.6303206733
95	0.6296569025
96	0.6289629265
97	0.6284485681
98	0.6277419295
99	0.6271169088
100	0.6264378098
101	0.6258117406
102	0.6252280675
103	0.6245397722
104	0.6239618684
105	0.6233712602
106	0.6229087777
107	0.6223720367
108	0.6217144486
109	0.6211258201
110	0.6205071554
111	0.6199419823
112	0.6196035371
113	0.618929474
114	0.61836698
115	0.6180848671
116	0.6176117453
117	0.6170159905
118	0.6163352392
119	0.6157220412
120	0.6150645091
121	0.6144264778
122	0.6137658554
123	0.613102412
124	0.6124738242
125	0.6119094775
126	0.6114807991
127	0.6110516126
128	0.6105064205
129	0.6100004581
130	0.6094810272
131	0.6089546062
132	0.6084643252
133	0.6080151604
134	0.6073920632
135	0.6068057477
136	0.6062437302
137	0.6056939949
138	0.6051158858
139	0.6045402451
140	0.6039379542
141	0.603431529
142	0.6029129305
143	0.6022886439
144	0.6017195436
145	0.6012795734
146	0.6006746356
147	0.6001283449
148	0.5995796584
149	0.5992482124
150	0.5986667658
151	0.5981405627
152	0.5975797231
153	0.5971021578
154	0.5966197355
155	0.5961077108
156	0.5955165043
157	0.5950123324
158	0.5946610652
159	0.5941139866
160	0.5935881559
161	0.5931716093
162	0.5927995624
163	0.5922280489
164	0.5918564015
165	0.5912591447
166	0.590694922
167	0.5902143674
168	0.5895973269
169	0.5892085624
170	0.5886437068
171	0.5882609476
172	0.5878722112
173	0.5873364789
174	0.5869589749
175	0.5864937206
176	0.586066752
177	0.5855193276
178	0.5850442764
179	0.5844785105
180	0.5839052581
181	0.5832977317
182	0.582903372
183	0.5824129411
184	0.5818626523
185	0.5814017436
186	0.5809218679
187	0.5803415584
188	0.5798950604
189	0.5795206466
190	0.5791954841
191	0.5787230044
192	0.5782125583
193	0.5777116107
194	0.5771999287
195	0.5766596967
196	0.5762911328
197	0.5759195686
198	0.5753935491
199	0.5748693185
200	0.5743402785
201	0.5739025247
202	0.5735889888
203	0.5732553662
204	0.5728328318
205	0.5723779869
206	0.571977547
207	0.5714923813
208	0.5710560526
209	0.5705449672
210	0.5700254345
211	0.5695509444
212	0.5690190723
213	0.5686022352
214	0.5681506918
215	0.5676168762
216	0.5671524867
217	0.5668511739
218	0.5663032869
219	0.5658099259
220	0.5654733336
221	0.5650125114
222	0.5645039657
223	0.5640643704
224	0.5637644718
225	0.5634399877
226	0.5629863207
227	0.5625100508
228	0.5622396504
229	0.5617065678
230	0.5612717452
231	0.5608327399
232	0.5603102568
233	0.5597755378
234	0.5592803964
235	0.5589375371
236	0.5586318838
237	0.5581358491
238	0.5576795932
239	0.5571351881
240	0.556699347
241	0.5563542306
242	0.5558924727
243	0.5554718625
244	0.5551198888
245	0.5547220238
246	0.5542820005
247	0.5538509733
248	0.5534156823
249	0.5529220822
250	0.5525193927
251	0.5521731231
252	0.5519773744
253	0.5514899371
254	0.5511619943
255	0.5506940269
256	0.5501721673
257	0.5497163915
258	0.5492580815
259	0.5488369093
260	0.5484980836
261	0.5480551876
262	0.5475899049
263	0.5471464136
264	0.5468535581
265	0.5464350901
266	0.5459987939
267	0.5455808705
268	0.545299993
269	0.5448439201
270	0.5445646966
271	0.5443067862
272	0.5439270128
273	0.5436264641
274	0.5432635071
275	0.5429344567
276	0.5425801007
277	0.5420957156
278	0.5416610419
279	0.5413823698
280	0.5409852982
281	0.5405428451
282	0.5400893935
283	0.5398192528
284	0.5393601176
285	0.5389398067
286	0.5385805499
287	0.5381687098
288	0.5377415424
289	0.5373871007
290	0.5369223827
291	0.536524856
292	0.5361180346
293	0.5358289375
294	0.5355039277
295	0.5352144226
296	0.5348071904
297	0.5346112551
298	0.5341473069
299	0.5337566202
300	0.5334129806
301	0.5329639971
302	0.5325222558
303	0.5323384141
304	0.5318999247
305	0.5315477981
306	0.5312149569
307	0.5308156595
308	0.5305487037
309	0.5301217518
310	0.5299535629
311	0.5295618139
312	0.5292088505
313	0.5288313271
314	0.5284347741
315	0.528083927
316	0.5277065055
317	0.5273385581
318	0.5270692279
319	0.5266939306
320	0.5262955445
321	0.5259225671
322	0.5255266835
323	0.5251701049
324	0.5248117049
325	0.5244523496
326	0.5240659154
327	0.5236424183
328	0.5232219592
329	0.5228785156
330	0.5224451498
331	0.5220872751
332	0.5216783114
333	0.5212804273
334	0.5209875918
335	0.520570537
336	0.5201873797
337	0.5199270661
338	0.5196144298
339	0.519267115
340	0.5188316262
341	0.5184522093
342	0.5180853515
343	0.5177433076
344	0.5173409461
345	0.5169228233
346	0.5165841428
347	0.5162767546
348	0.5158827914
349	0.5155557412
350	0.5152079693
351	0.5148007473
352	0.5143816259
353	0.5140667544
354	0.5136947377
355	0.5133496773
356	0.5129673498
357	0.5126811583
358	0.5124558392
359	0.5121881333
360	0.5118900082
361	0.5115984907
362	0.5112185185
363	0.5109012306
364	0.5105935631
365	0.5103121917
366	0.5098892471
367	0.5095055593
368	0.509204142
369	0.5088529937
370	0.5086380963
371	0.5082606137
372	0.50787912
373	0.5075831816
374	0.5073317914
375	0.5071805624
376	0.5068445613
377	0.5065289139
378	0.5061959188
379	0.5059118498
380	0.5055270656
381	0.5051130614
382	0.5048898076
383	0.5047358539
384	0.504454394
385	0.5043075809
386	0.5040822537
387	0.5038214258
388	0.503535329
389	0.503173366
390	0.5028257601
391	0.5024940565
392	0.5021222784
393	0.5017716821
394	0.5013607231
395	0.5012093023
396	0.5010642289
397	0.5009167481
398	0.5005288422
399	0.5001869458
400	0.499843339
401	0.4994945385
402	0.4991492599
403	0.4988131634
404	0.4985538744
405	0.4982271408
406	0.4978981533
407	0.4975280211
408	0.4973031549
409	0.4969549686
410	0.4966711318
411	0.4965069686
412	0.4961438691
413	0.4958655551
414	0.4956732126
415	0.495343164
416	0.4950755719
417	0.4947517546
418	0.4943971537
419	0.4941594284
420	0.4938461716
421	0.4936437982
422	0.4933449943
423	0.4930264989
424	0.492726114
425	0.4925777235
426	0.4922702846
427	0.4920808989
428	0.4918050484
429	0.4916127951
430	0.4913440779
431	0.4911073159
432	0.4907710113
433	0.4905243107
434	0.4901765622
435	0.4898952371
436	0.4895886654
437	0.4894185227
438	0.4891491786
439	0.4888401285
440	0.4885727037
441	0.4883470626
442	0.4880299987
443	0.4877364784
444	0.4874302685
445	0.4871407196
446	0.4868375283
447	0.4865712278
448	0.4862189452
449	0.48591956
450	0.4856571396
451	0.4853301536
452	0.4850334434
453	0.4848596444
454	0.4845383969
455	0.484303873
456	0.4840936015
457	0.4839713642
458	0.4836981486
459	0.4834013677
460	0.4831260565
461	0.4828265113
462	0.4826364036
463	0.4824159292
464	0.4821445363
465	0.481950055
466	0.4816396733
467	0.4813513072
468	0.4810751087
469	0.4809547188
470	0.4808442722
471	0.4805997422
472	0.4802860823
473	0.4799776935
474	0.4796829715
475	0.4794565642
476	0.4792975457
477	0.4791011789
478	0.4788013385
479	0.4785038839
480	0.4783817137
481	0.4781189102
482	0.4778292499
483	0.4776432631
484	0.477482472
485	0.4772649008
486	0.4769800084
487	0.4767212751
488	0.4764734806
489	0.4762069784
490	0.4759474373
491	0.4757664537
492	0.4754666408
493	0.4752408022
494	0.4751231656
495	0.4749183134
496	0.4746792056
497	0.4744670294
498	0.4741864369
499	0.4738969654
500	0.4735879063
501	0.4732852783
502	0.4730004213
503	0.4728989346
504	0.4726428536
505	0.4723269448
506	0.472077222
507	0.4718079738
508	0.4715258505
509	0.4712216157
510	0.4709394069
511	0.4706602773
512	0.470392881
513	0.4702290299
514	0.4699922039
515	0.4697089375
516	0.4695229078
517	0.4692598456
518	0.4689822889
519	0.4688025431
520	0.4685263096
521	0.4682394054
522	0.4679522457
523	0.4677431226
524	0.4675450143
525	0.4673161578
526	0.4670396661
527	0.4668021308
528	0.4665453614
529	0.4662517587
530	0.4660199067
531	0.4658014116
532	0.4656432476
533	0.4654470106
534	0.4653233917
535	0.4650577765
536	0.4647906151
537	0.4646276059
538	0.4644216471
539	0.4641313262
540	0.4639023108
541	0.4637552548
542	0.4635223727
543	0.4632927866
544	0.4631360271
545	0.4629848946
546	0.462774888
547	0.4625992179
548	0.4624129884
549	0.4622559705
550	0.4620686734
551	0.4618929574
552	0.4617622793
553	0.4615969694
554	0.4613300705
555	0.4610877256
556	0.4609531976
557	0.4608218897
558	0.4606363883
559	0.4604926139
560	0.4602088984
561	0.4600241384
562	0.4597575976
563	0.4595473452
564	0.4593307406
565	0.4591003536
566	0.4588383596
567	0.4586278795
568	0.4584094652
569	0.4582100924
570	0.457963527
571	0.4577569619
572	0.4574958215
573	0.4574045272
574	0.4572421334
575	0.4571218243
576	0.4568758433
577	0.4566269638
578	0.4564411926
579	0.4562236109
580	0.4560645721
581	0.4558355879
582	0.4556081429
583	0.4554478914
584	0.4553359066
585	0.4551560024
586	0.4550371605
587	0.4548128865
588	0.4545280304
589	0.454403741
590	0.4542586258
591	0.4540138918
592	0.4537840686
593	0.4535794955
594	0.4533839977
595	0.4531509261
596	0.4529002367
597	0.452621552
598	0.4524303715
599	0.4521899353
600	0.4519413327
601	0.4517223763
602	0.4514920712
603	0.4513412417
604	0.4511039519
605	0.4508418541
606	0.4506086967
607	0.4503748011
608	0.4501671751
609	0.4499423169
610	0.4496637275
611	0.4494240333
612	0.4492049936
613	0.4490794355
614	0.4489110398
615	0.4487167068
616	0.448519129
617	0.4482904193
618	0.4480866222
619	0.4479303471
620	0.4476630302
621	0.4474723617
622	0.447316635
623	0.4470365632
624	0.4468893828
625	0.4466784771
626	0.4465056062
627	0.4462687269
628	0.4461108199
629	0.4459111725
630	0.445730768
631	0.4455818795
632	0.4453363657
633	0.4451554436
634	0.4450618729
635	0.4448960092
636	0.4448174546
637	0.4446061977
638	0.44439359
639	0.4441758269
640	0.4439582461
641	0.4437975048
642	0.4434744165
643	0.4432399368
644	0.4430165665
645	0.4428210403
646	0.4425913238
647	0.4423802865
648	0.4421952971
649	0.4420613304
650	0.441894254
651	0.4417467635
652	0.441524171
653	0.4414003708
654	0.4411964707
655	0.4410152545
656	0.4408437503
657	0.4406740058
658	0.44059793
659	0.4404475176
660	0.4402312469
661	0.440034995
662	0.4399212442
663	0.4396870347
664	0.4395138955
665	0.439347247
666	0.4391373132
667	0.4389119472
668	0.4387102993
669	0.4385353106
670	0.4384211343
671	0.4382744237
672	0.438112112
673	0.4379775365
674	0.4378161724
675	0.4375816684
676	0.4374888046
677	0.437304847
678	0.4371062236
679	0.4368692545
680	0.4366800207
681	0.4365360767
682	0.4363193947
683	0.4361268158
684	0.4360561328
685	0.4358507165
686	0.4357498782
687	0.4356394249
688	0.4354775066
689	0.4353247068
690	0.4351477208
691	0.4349810468
692	0.4347979886
693	0.4347024321
694	0.4344770814
695	0.4343005333
696	0.4340741132
697	0.43398607
698	0.4337595516
699	0.4336857853
700	0.4335525042
701	0.4333954132
702	0.4332133212
703	0.4330332813
704	0.4327902409
705	0.4325776605
706	0.4324436659
707	0.4322664601
708	0.4321159569
709	0.4319600121
710	0.4317876042
711	0.4315992166
712	0.4315071926
713	0.431325484
714	0.43113411
715	0.4310000575
716	0.4308401075
717	0.4306764321
718	0.4305801481
719	0.430397589
720	0.4302776369
721	0.4301172764
722	0.4299012586
723	0.4297314428
724	0.42957792
725	0.4294820356
726	0.42938086
727	0.4292342006
728	0.4291702959
729	0.4290504238
730	0.4288553087
731	0.428629243
732	0.4284621679
733	0.4282915019
734	0.4281674335
735	0.4279766546
736	0.4277714089
737	0.4275791449
738	0.4274200957
739	0.4272736806
740	0.4270925611
741	0.4268997385
742	0.4267248705
743	0.4265002567
744	0.4264121379
745	0.4262056823
746	0.4260501457
747	0.4258663755
748	0.4257631898
749	0.4256051986
750	0.4253807838
751	0.4252553261
752	0.4250820765
753	0.42488856
754	0.4246566768
755	0.4244752415
756	0.4243458905
757	0.4241824385
758	0.4241273364
